1786070736| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070737| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070738| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070739| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070740| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070741| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070742| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070743| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070744| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070745| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070746| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070747| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070748| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070749| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070750| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070752| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070753| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070754| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070755| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070756| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070757| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070758| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070759| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070760| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070761| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070762| level: 89| voltage: 4295| temperature: 310| current now: -160937| charge counter: 4398025|
1786070763| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070764| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070765| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070766| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070767| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070768| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070769| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070771| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070772| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070773| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070774| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070775| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070776| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070777| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070778| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070779| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070780| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
